Item Name|Probability Weight [Max 10]|Value(GGGGGG.SSCC) [G = Gold, S = Silver, C = Copper]
----------------------------------------------------------------------------------------------------------------------------------------------------------
Copper Sword|6|0.8
Copper Axe|6|0.8
Bow|5|0.5
20 Arrows|4|0.02
Copper Dagger|6|0.5
Magic Staff|1|0.8
Coat|8|0.1
Copper Helmet|2|0.2
Carved Wood Staff|4|0.05
Wood Bird Talisman|1|0.01
Tentacles|3|0.03
Berries|7|0.02
Acorns|6|0.03
Nuts|8|0.025
Poison Ivy|1|0.0001
